starting workers
starting test
Thread, # threads, Test type, e6axis, Test #, Time (s)
2, 5, Read, 1, 0, 0.046020797
0, 5, sync_write_read, 1, 0, 0.048232739
1, 5, Read, 1, 0, 0.056285370
2, 5, Read, 1, 1, 0.012630028
3, 5, Read, 1, 0, 0.066733766
1, 5, Read, 1, 1, 0.012418967
2, 5, Read, 1, 2, 0.012384326
4, 5, Read, 1, 0, 0.075387380
3, 5, Read, 1, 1, 0.013545368
1, 5, Read, 1, 2, 0.013861399
2, 5, Read, 1, 3, 0.013493685
0, 5, sync_write_read, 1, 1, 0.038421925
4, 5, Read, 1, 1, 0.013143292
3, 5, Read, 1, 2, 0.011505164
1, 5, Read, 1, 3, 0.011373094
2, 5, Read, 1, 4, 0.011547977
4, 5, Read, 1, 2, 0.014376269
3, 5, Read, 1, 3, 0.013078898
1, 5, Read, 1, 4, 0.013309234
2, 5, Read, 1, 5, 0.013087278
0, 5, sync_write_read, 1, 2, 0.024728005
4, 5, Read, 1, 3, 0.010320376
3, 5, Read, 1, 4, 0.011231526
1, 5, Read, 1, 5, 0.011060135
2, 5, Read, 1, 6, 0.011250942
4, 5, Read, 1, 4, 0.013986416
3, 5, Read, 1, 5, 0.014574898
1, 5, Read, 1, 6, 0.014381228
2, 5, Read, 1, 7, 0.014376060
0, 5, sync_write_read, 1, 3, 0.025475167
4, 5, Read, 1, 5, 0.012484758
3, 5, Read, 1, 6, 0.011273989
1, 5, Read, 1, 7, 0.011378123
2, 5, Read, 1, 8, 0.011424148
4, 5, Read, 1, 6, 0.013199514
3, 5, Read, 1, 7, 0.013693920
1, 5, Read, 1, 8, 0.013707190
2, 5, Read, 1, 9, 0.013599425
0, 5, sync_write_read, 1, 4, 0.025791268
4, 5, Read, 1, 7, 0.011618796
3, 5, Read, 1, 8, 0.011379101
1, 5, Read, 1, 9, 0.011933641
2, 5, Read, 1, 10, 0.014552479
4, 5, Read, 1, 8, 0.014876473
3, 5, Read, 1, 9, 0.014554225
1, 5, Read, 1, 10, 0.013842263
2, 5, Read, 1, 11, 0.011910453
4, 5, Read, 1, 9, 0.011267494
3, 5, Read, 1, 10, 0.011169787
1, 5, Read, 1, 11, 0.011247101
2, 5, Read, 1, 12, 0.013496270
0, 5, sync_write_read, 1, 5, 0.039493430
4, 5, Read, 1, 10, 0.013494524
3, 5, Read, 1, 11, 0.013540967
1, 5, Read, 1, 12, 0.013374256
2, 5, Read, 1, 13, 0.011058948
4, 5, Read, 1, 11, 0.011294942
3, 5, Read, 1, 12, 0.011332028
1, 5, Read, 1, 13, 0.014128891
2, 5, Read, 1, 14, 0.013355050
0, 5, sync_write_read, 1, 6, 0.024587694
4, 5, Read, 1, 12, 0.013425171
3, 5, Read, 1, 13, 0.013440955
1, 5, Read, 1, 14, 0.010624885
2, 5, Read, 1, 15, 0.011578637
4, 5, Read, 1, 13, 0.011288446
3, 5, Read, 1, 14, 0.011319736
1, 5, Read, 1, 15, 0.014041520
2, 5, Read, 1, 16, 0.013610250
0, 5, sync_write_read, 1, 7, 0.025124913
4, 5, Read, 1, 14, 0.013644123
3, 5, Read, 1, 15, 0.013375863
1, 5, Read, 1, 16, 0.011388878
2, 5, Read, 1, 17, 0.010916891
4, 5, Read, 1, 15, 0.010861856
3, 5, Read, 1, 16, 0.011074453
1, 5, Read, 1, 17, 0.013401704
2, 5, Read, 1, 18, 0.013753355
0, 5, sync_write_read, 1, 8, 0.024475040
4, 5, Read, 1, 16, 0.013609203
3, 5, Read, 1, 17, 0.013423635
1, 5, Read, 1, 18, 0.011069424
2, 5, Read, 1, 19, 0.010720567
4, 5, Read, 1, 17, 0.011384688
3, 5, Read, 1, 18, 0.014070993
1, 5, Read, 1, 19, 0.013341571
2, 5, Read, 1, 20, 0.013941577
0, 5, sync_write_read, 1, 9, 0.024582386
4, 5, Read, 1, 18, 0.013132606
3, 5, Read, 1, 19, 0.010441551
1, 5, Read, 1, 20, 0.011361640
2, 5, Read, 1, 21, 0.011140802
4, 5, Read, 1, 19, 0.011201843
3, 5, Read, 1, 20, 0.013631692
1, 5, Read, 1, 21, 0.012791850
2, 5, Read, 1, 22, 0.013141685
0, 5, sync_write_read, 1, 10, 0.024113052
4, 5, Read, 1, 20, 0.013049914
3, 5, Read, 1, 21, 0.011956479
1, 5, Read, 1, 22, 0.011983647
2, 5, Read, 1, 23, 0.012035190
4, 5, Read, 1, 21, 0.014825349
3, 5, Read, 1, 22, 0.013540549
1, 5, Read, 1, 23, 0.013865520
2, 5, Read, 1, 24, 0.013161311
0, 5, sync_write_read, 1, 11, 0.025622532
4, 5, Read, 1, 22, 0.010372618
3, 5, Read, 1, 23, 0.011304022
1, 5, Read, 1, 24, 0.011173837
