starting workers
starting test
Thread, # threads, Test type, Test #, Time (s)
Worker 3 started
Worker 1 started
Worker 2 started
Worker 0 started
Worker 4 started
2, 5, Read, 0, 0.009620357
0, 5, sync_write_read, 0, 0.014365164
1, 5, Read, 0, 0.017944460
2, 5, Read, 1, 0.010202694
3, 5, Read, 0, 0.025965662
1, 5, Read, 1, 0.010557558
2, 5, Read, 2, 0.011162453
4, 5, Read, 0, 0.037595493
3, 5, Read, 1, 0.013739317
1, 5, Read, 2, 0.014175685
2, 5, Read, 3, 0.014488435
0, 5, sync_write_read, 1, 0.033035556
4, 5, Read, 1, 0.012755812
3, 5, Read, 2, 0.012791989
1, 5, Read, 3, 0.012018218
2, 5, Read, 4, 0.011352072
4, 5, Read, 2, 0.012961704
3, 5, Read, 3, 0.013393253
1, 5, Read, 4, 0.013091120
2, 5, Read, 5, 0.013214390
0, 5, sync_write_read, 2, 0.024355472
4, 5, Read, 3, 0.011511589
3, 5, Read, 4, 0.011217627
1, 5, Read, 5, 0.011267424
2, 5, Read, 6, 0.011050777
4, 5, Read, 4, 0.012953254
3, 5, Read, 5, 0.013312237
1, 5, Read, 6, 0.013477831
2, 5, Read, 7, 0.013365666
0, 5, sync_write_read, 3, 0.025352107
4, 5, Read, 5, 0.011286770
3, 5, Read, 6, 0.011035761
1, 5, Read, 7, 0.010881621
2, 5, Read, 8, 0.011100364
4, 5, Read, 6, 0.013456390
3, 5, Read, 7, 0.013254618
1, 5, Read, 8, 0.013453945
2, 5, Read, 9, 0.013125133
4, 5, Read, 7, 0.010869818
3, 5, Read, 8, 0.011377773
1, 5, Read, 9, 0.011338173
2, 5, Read, 10, 0.014118625
0, 5, sync_write_read, 4, 0.037748167
4, 5, Read, 8, 0.013802802
3, 5, Read, 9, 0.013112561
1, 5, Read, 10, 0.013102015
2, 5, Read, 11, 0.010398878
4, 5, Read, 9, 0.011557196
3, 5, Read, 10, 0.011609717
1, 5, Read, 11, 0.011578358
2, 5, Read, 12, 0.014007856
0, 5, sync_write_read, 5, 0.024321808
4, 5, Read, 10, 0.012816574
3, 5, Read, 11, 0.012632891
1, 5, Read, 12, 0.012742403
2, 5, Read, 13, 0.010301519
4, 5, Read, 11, 0.010953557
3, 5, Read, 12, 0.011337964
1, 5, Read, 13, 0.011315336
2, 5, Read, 14, 0.013614790
0, 5, sync_write_read, 6, 0.024038881
4, 5, Read, 12, 0.013631412
3, 5, Read, 13, 0.013451920
1, 5, Read, 14, 0.013212225
2, 5, Read, 15, 0.011641285
4, 5, Read, 13, 0.010922758
3, 5, Read, 14, 0.010806961
1, 5, Read, 15, 0.014455888
2, 5, Read, 16, 0.013743019
0, 5, sync_write_read, 7, 0.025676240
4, 5, Read, 14, 0.013725558
3, 5, Read, 15, 0.013787158
1, 5, Read, 16, 0.010181532
2, 5, Read, 17, 0.010818694
4, 5, Read, 15, 0.010795158
3, 5, Read, 16, 0.010656872
1, 5, Read, 17, 0.013783736
2, 5, Read, 18, 0.013153349
0, 5, sync_write_read, 8, 0.024072056
4, 5, Read, 16, 0.013730866
3, 5, Read, 17, 0.013947793
1, 5, Read, 18, 0.010776230
2, 5, Read, 19, 0.011677811
4, 5, Read, 17, 0.011189202
3, 5, Read, 18, 0.011176980
1, 5, Read, 19, 0.013633018
2, 5, Read, 20, 0.012820694
0, 5, sync_write_read, 9, 0.024610742
4, 5, Read, 18, 0.012851146
3, 5, Read, 19, 0.012804282
1, 5, Read, 20, 0.010375482
2, 5, Read, 21, 0.011235437
4, 5, Read, 19, 0.011324136
3, 5, Read, 20, 0.011755615
1, 5, Read, 21, 0.014755996
2, 5, Read, 22, 0.014109057
0, 5, sync_write_read, 10, 0.025066945
4, 5, Read, 20, 0.014318930
3, 5, Read, 21, 0.013755521
1, 5, Read, 22, 0.011770352
2, 5, Read, 23, 0.011872808
4, 5, Read, 21, 0.011474783
3, 5, Read, 22, 0.014058422
1, 5, Read, 23, 0.013077501
2, 5, Read, 24, 0.013494943
0, 5, sync_write_read, 11, 0.025429910
4, 5, Read, 22, 0.013416580
3, 5, Read, 23, 0.011610275
1, 5, Read, 24, 0.011569348
2, 5, Read, 25, 0.011155957
4, 5, Read, 23, 0.011012574
3, 5, Read, 24, 0.013384663
1, 5, Read, 25, 0.013792815
2, 5, Read, 26, 0.013537546
0, 5, sync_write_read, 12, 0.024686100
4, 5, Read, 24, 0.013600682
3, 5, Read, 25, 0.011119431
1, 5, Read, 26, 0.010830986
2, 5, Read, 27, 0.011328186
4, 5, Read, 25, 0.013964486
3, 5, Read, 26, 0.013254479
1, 5, Read, 27, 0.013558847
2, 5, Read, 28, 0.013010523
0, 5, sync_write_read, 13, 0.024401427
4, 5, Read, 26, 0.010372199
3, 5, Read, 27, 0.011275247
1, 5, Read, 28, 0.011125438
2, 5, Read, 29, 0.011286631
4, 5, Read, 27, 0.013901907
3, 5, Read, 28, 0.013197977
1, 5, Read, 29, 0.013553888
2, 5, Read, 30, 0.013082041
0, 5, sync_write_read, 14, 0.024293383
4, 5, Read, 28, 0.010363538
3, 5, Read, 29, 0.011436161
1, 5, Read, 30, 0.011217139
2, 5, Read, 31, 0.011493152
4, 5, Read, 29, 0.014412587
3, 5, Read, 30, 0.013345132
1, 5, Read, 31, 0.013169691
2, 5, Read, 32, 0.013251057
0, 5, sync_write_read, 15, 0.024651319
4, 5, Read, 30, 0.010909488
3, 5, Read, 31, 0.010696542
1, 5, Read, 32, 0.010877780
2, 5, Read, 33, 0.010775323
4, 5, Read, 31, 0.013029590
3, 5, Read, 32, 0.013316079
1, 5, Read, 33, 0.013222143
2, 5, Read, 34, 0.013352466
0, 5, sync_write_read, 16, 0.024067097
4, 5, Read, 32, 0.011029684
3, 5, Read, 33, 0.010775323
1, 5, Read, 34, 0.010934002
2, 5, Read, 35, 0.010746548
4, 5, Read, 33, 0.013201958
3, 5, Read, 34, 0.013511774
1, 5, Read, 35, 0.013183241
2, 5, Read, 36, 0.013411343
0, 5, sync_write_read, 17, 0.024171928
4, 5, Read, 34, 0.010962498
3, 5, Read, 35, 0.010596110
1, 5, Read, 36, 0.010930859
2, 5, Read, 37, 0.010693469
4, 5, Read, 35, 0.013084764
3, 5, Read, 36, 0.013464072
1, 5, Read, 37, 0.013133863
2, 5, Read, 38, 0.013473850
0, 5, sync_write_read, 18, 0.024235065
4, 5, Read, 36, 0.011086326
3, 5, Read, 37, 0.010811570
1, 5, Read, 38, 0.011814003
2, 5, Read, 39, 0.011665520
4, 5, Read, 37, 0.013662771
3, 5, Read, 38, 0.014092644
1, 5, Read, 39, 0.013446752
2, 5, Read, 40, 0.013290377
0, 5, sync_write_read, 19, 0.025691325
4, 5, Read, 38, 0.011344809
3, 5, Read, 39, 0.011275666
1, 5, Read, 40, 0.010786497
2, 5, Read, 41, 0.010880993
4, 5, Read, 39, 0.012813641
3, 5, Read, 40, 0.013061368
1, 5, Read, 41, 0.013253292
2, 5, Read, 42, 0.013165641
4, 5, Read, 40, 0.011233761
3, 5, Read, 41, 0.010943151
1, 5, Read, 42, 0.010845583
2, 5, Read, 43, 0.011035202
0, 5, sync_write_read, 20, 0.037246636
4, 5, Read, 41, 0.012875031
3, 5, Read, 42, 0.013215926
1, 5, Read, 43, 0.013262371
2, 5, Read, 44, 0.013016460
4, 5, Read, 42, 0.011072916
3, 5, Read, 43, 0.010739354
1, 5, Read, 44, 0.010603025
2, 5, Read, 45, 0.010759888
0, 5, sync_write_read, 21, 0.023704970
4, 5, Read, 43, 0.012850447
3, 5, Read, 44, 0.013098593
1, 5, Read, 45, 0.013291006
2, 5, Read, 46, 0.013153139
4, 5, Read, 44, 0.011156726
3, 5, Read, 45, 0.010897336
1, 5, Read, 46, 0.010704294
2, 5, Read, 47, 0.011288447
0, 5, sync_write_read, 22, 0.024665846
4, 5, Read, 45, 0.013894435
3, 5, Read, 46, 0.013612624
1, 5, Read, 47, 0.013861399
2, 5, Read, 48, 0.013245539
4, 5, Read, 46, 0.010620625
3, 5, Read, 47, 0.011270148
1, 5, Read, 48, 0.011188783
2, 5, Read, 49, 0.013937875
0, 5, sync_write_read, 23, 0.024331306
4, 5, Read, 47, 0.013753704
3, 5, Read, 48, 0.013131837
1, 5, Read, 49, 0.013256854
2, 5, Read, 50, 0.010559094
4, 5, Read, 48, 0.011398237
3, 5, Read, 49, 0.011435253
1, 5, Read, 50, 0.011335590
2, 5, Read, 51, 0.013825640
0, 5, sync_write_read, 24, 0.024414697
4, 5, Read, 49, 0.013614580
3, 5, Read, 50, 0.013709984
1, 5, Read, 51, 0.013596142
2, 5, Read, 52, 0.011910872
4, 5, Read, 50, 0.011222097
3, 5, Read, 51, 0.010991831
