thread nr: 0
thread nr: 3
Starting tests
thread nr: 2
Starting tests
Thread, #Threads, Test type, E6AXIS, Test #, Time (s)
thread nr: 1
Starting tests
Thread, #Threads, Test type, E6AXIS, Test #, Time (s)
thread nr: 4
Starting tests
Thread, #Threads, Test type, E6AXIS, Test #, Time (s)
Thread, #Threads, Test type, E6AXIS, Test #, Time (s)
Starting tests
Thread, #Threads, Test type, E6AXIS, Test #, Time (s)
4, 5, Read, true, 0, 0.004899227
2, 5, Read, true, 0, 0.006967227
1, 5, Read, true, 0, 0.010856758
4, 5, Read, true, 1, 0.007187646
2, 5, Read, true, 1, 0.01189425
1, 5, Read, true, 1, 0.013125063
3, 5, Read, true, 0, 0.026070564
4, 5, Read, true, 2, 0.014317463
2, 5, Read, true, 2, 0.01203938
1, 5, Read, true, 2, 0.011720345
3, 5, Read, true, 1, 0.011818891
4, 5, Read, true, 3, 0.014531737
2, 5, Read, true, 3, 0.014073437
0, 5, sync_write_read, true, 0, 0.04813133
1, 5, Read, true, 3, 0.014136644
3, 5, Read, true, 2, 0.013832136
4, 5, Read, true, 4, 0.011839774
2, 5, Read, true, 4, 0.011781946
1, 5, Read, true, 4, 0.011460396
3, 5, Read, true, 3, 0.014501355
4, 5, Read, true, 5, 0.013979221
2, 5, Read, true, 5, 0.013904911
1, 5, Read, true, 5, 0.01365865
3, 5, Read, true, 4, 0.011703932
4, 5, Read, true, 6, 0.011619005
2, 5, Read, true, 6, 0.011718529
0, 5, sync_write_read, true, 1, 0.03665948
1, 5, Read, true, 6, 0.01439785
3, 5, Read, true, 5, 0.013321527
4, 5, Read, true, 7, 0.013671851
2, 5, Read, true, 7, 0.014156339
1, 5, Read, true, 7, 0.011926866
3, 5, Read, true, 6, 0.011909475
4, 5, Read, true, 8, 0.01185004
2, 5, Read, true, 8, 0.011516269
1, 5, Read, true, 8, 0.013455482
3, 5, Read, true, 7, 0.014395266
4, 5, Read, true, 9, 0.013844987
2, 5, Read, true, 9, 0.013665424
0, 5, sync_write_read, true, 2, 0.040145888
1, 5, Read, true, 9, 0.011859819
3, 5, Read, true, 8, 0.011602803
4, 5, Read, true, 10, 0.011576542
