Thread, #Threads, Test type, E6AXIS, Test #, Time (s)
4, 5, Read, 0, 0, 0.00826362
2, 5, Read, 0, 0, 0.011939437
3, 5, Read, 0, 0, 0.021074119
4, 5, Read, 0, 1, 0.012155946
2, 5, Read, 0, 1, 0.013207266
0, 5, sync_write_read, 0, 0, 0.02763466
1, 5, Read, 0, 0, 0.030033359
3, 5, Read, 0, 1, 0.011385875
4, 5, Read, 0, 2, 0.011271684
2, 5, Read, 0, 2, 0.013965253
1, 5, Read, 0, 1, 0.013431317
3, 5, Read, 0, 2, 0.012881875
4, 5, Read, 0, 3, 0.012954021
2, 5, Read, 0, 3, 0.010311158
1, 5, Read, 0, 2, 0.01117279
3, 5, Read, 0, 3, 0.011847177
4, 5, Read, 0, 4, 0.012140789
2, 5, Read, 0, 4, 0.014876123
0, 5, sync_write_read, 0, 1, 0.039050217
1, 5, Read, 0, 3, 0.014384022
3, 5, Read, 0, 4, 0.013745463
4, 5, Read, 0, 5, 0.013190714
2, 5, Read, 0, 5, 0.011108745
1, 5, Read, 0, 4, 0.011374142
3, 5, Read, 0, 5, 0.010551132
4, 5, Read, 0, 6, 0.010636129
2, 5, Read, 0, 6, 0.012759583
1, 5, Read, 0, 5, 0.012236472
3, 5, Read, 0, 6, 0.013025958
4, 5, Read, 0, 7, 0.012981958
2, 5, Read, 0, 7, 0.010815621
0, 5, sync_write_read, 0, 2, 0.034423861
1, 5, Read, 0, 6, 0.010782377
3, 5, Read, 0, 7, 0.011106999
4, 5, Read, 0, 8, 0.01374665
2, 5, Read, 0, 8, 0.012944313
1, 5, Read, 0, 7, 0.012930625
3, 5, Read, 0, 8, 0.012447742
4, 5, Read, 0, 9, 0.009713456
2, 5, Read, 0, 9, 0.010524802
1, 5, Read, 0, 8, 0.01061357
3, 5, Read, 0, 9, 0.010546033
4, 5, Read, 0, 10, 0.010712466
2, 5, Read, 0, 10, 0.012787729
0, 5, sync_write_read, 0, 3, 0.036764871
1, 5, Read, 0, 9, 0.012787659
3, 5, Read, 0, 10, 0.01290632
4, 5, Read, 0, 11, 0.012860644
2, 5, Read, 0, 11, 0.01084237
1, 5, Read, 0, 10, 0.010830567
3, 5, Read, 0, 11, 0.010601628
4, 5, Read, 0, 12, 0.014037889
2, 5, Read, 0, 12, 0.013309095
1, 5, Read, 0, 11, 0.013290656
3, 5, Read, 0, 12, 0.013423006
4, 5, Read, 0, 13, 0.010003367
2, 5, Read, 0, 13, 0.010813456
0, 5, sync_write_read, 0, 4, 0.034951372
1, 5, Read, 0, 12, 0.011052941
3, 5, Read, 0, 13, 0.01070646
4, 5, Read, 0, 14, 0.013666891
2, 5, Read, 0, 14, 0.01291037
1, 5, Read, 0, 13, 0.012746593
3, 5, Read, 0, 14, 0.013087209
4, 5, Read, 0, 15, 0.010075862
2, 5, Read, 0, 15, 0.010898104
1, 5, Read, 0, 14, 0.010905786
3, 5, Read, 0, 15, 0.01054331
4, 5, Read, 0, 16, 0.010618389
2, 5, Read, 0, 16, 0.012744707
0, 5, sync_write_read, 0, 5, 0.037157449
1, 5, Read, 0, 15, 0.012540421
3, 5, Read, 0, 16, 0.012992435
4, 5, Read, 0, 17, 0.012890885
2, 5, Read, 0, 17, 0.010719659
1, 5, Read, 0, 16, 0.010736212
3, 5, Read, 0, 17, 0.01056992
4, 5, Read, 0, 18, 0.010740891
2, 5, Read, 0, 18, 0.012909393
1, 5, Read, 0, 17, 0.012957235
3, 5, Read, 0, 18, 0.013017228
4, 5, Read, 0, 19, 0.012835151
2, 5, Read, 0, 19, 0.010632916
0, 5, sync_write_read, 0, 6, 0.034163702
1, 5, Read, 0, 18, 0.011263513
3, 5, Read, 0, 19, 0.010892866
4, 5, Read, 0, 20, 0.013916644
2, 5, Read, 0, 20, 0.013831577
1, 5, Read, 0, 19, 0.013265863
3, 5, Read, 0, 20, 0.013636441
4, 5, Read, 0, 21, 0.010634034
2, 5, Read, 0, 21, 0.011000351
1, 5, Read, 0, 20, 0.010864929
3, 5, Read, 0, 21, 0.010894612
4, 5, Read, 0, 22, 0.013731146
2, 5, Read, 0, 22, 0.012877196
0, 5, sync_write_read, 0, 7, 0.038464179
1, 5, Read, 0, 21, 0.013000955
3, 5, Read, 0, 22, 0.012941869
4, 5, Read, 0, 23, 0.010042129
2, 5, Read, 0, 23, 0.010941824
1, 5, Read, 0, 22, 0.010854802
