Language,Test,Type,Threads,Maximum,Minimum,Median,Mean,Variance,Deviation
C++,Read,E6AXIS,1,9.370186,1.860083,2.2919465,2.64191340019999,0.736251035248871,0.858050718342961
C++,Write,E6AXIS,1,14.43752,2.601867,3.281143,3.59709292539999,0.920273472884439,0.959308851665843
C++,Sync,E6AXIS,1,59.028456,6.889842,23.691875,23.9082817342001,1.8244310151282,1.35071500144487
C++,Read,INT,1,23.775509,1.766915,2.147759,2.4775204734,0.824384363958941,0.907956146495491
C++,Write,INT,1,16.046873,1.668998,2.080153,2.3884911986,0.755355877362064,0.869112120132992
C++,Sync,INT,1,47.614365,6.968414,24.0299065,23.9209852372,1.29803195342835,1.13931205270038
Java,Read,E6AXIS,1,13.464073,1.838153,2.293308,2.64027285154062,0.739835747373336,0.860137051505942
Java,Write,E6AXIS,1,13.00347,2.639652,3.328147,3.641129504,0.915271498572921,0.956698227537253
Java,Sync,E6AXIS,1,57.7065,11.549025,23.7888145,23.9696998138,0.955167811303075,0.977326870245096
Java,Read,INT,1,23.596366,1.709715,2.1357465,2.47534576270508,0.783262706151756,0.885021302654211
Java,Write,INT,1,10.553297,1.638476,2.0606675,2.3831594468,0.67712537970375,0.822876284567583
Java,Sync,INT,1,36.501779,12.790802,24.0712525,23.9653755642,0.635187525932098,0.796986528074407
C++,Read,E6AXIS,5,36.521893,2.359867,12.771386,12.3792805029001,1.74085085777083,1.31941307321507
C++,Write,E6AXIS,5,30.482158,3.444363,16.5503585,16.0810163269501,1.76769567548448,1.32954716933416
C++,Sync,E6AXIS,5,60.274844,11.855558,25.028951,32.5767056858,117.244808920919,10.8279642094403
C++,Read,INT,5,74.492853,2.445632,11.624767,11.7831769308001,2.02763550609301,1.42395066841973
C++,Write,INT,5,72.862897,2.137283,10.972834,11.40983969845,2.37205661559123,1.54014824468011
C++,Sync,INT,5,97.547321,11.399494,23.422741,24.1141061330001,9.74937422600202,3.12239879355633
Java,Read,E6AXIS,5,36.024065,1.810635,12.159018,11.8248169078908,6.82413022408432,2.61230362402312
Java,Write,E6AXIS,5,29.741142,10.299913,16.150622,15.3842712895,3.54992349934568,1.88412406686653
Java,Sync,E6AXIS,5,59.28617,11.372815,37.0779345,35.8004187676,91.1327963025776,9.54634989420447
Java,Read,INT,5,30.033359,6.04169,11.363212,11.7337552332733,1.69384689932078,1.30147873563911
Java,Write,INT,5,24.137986,8.449329,10.824002,11.34579560785,1.63525945983508,1.2787726380538
Java,Sync,INT,5,51.988455,12.831171,33.566,31.3499009176,33.7639767945327,5.81067782573881
