starting workers
starting test
Thread, # threads, Test type, e6axis, Test #, Time (s)
4, 5, Read, 1, 0, 0.004426052
4, 5, Read, 1, 1, 0.009288611
3, 5, Read, 1, 0, 0.017539521
0, 5, sync_write_read, 1, 0, 0.019794277
4, 5, Read, 1, 2, 0.007942281
2, 5, Read, 1, 0, 0.025700265
3, 5, Read, 1, 1, 0.010403278
4, 5, Read, 1, 3, 0.010433450
1, 5, Read, 1, 0, 0.036521893
2, 5, Read, 1, 1, 0.012755672
3, 5, Read, 1, 2, 0.012974555
0, 5, sync_write_read, 1, 1, 0.023017033
4, 5, Read, 1, 4, 0.012708599
1, 5, Read, 1, 1, 0.010321285
2, 5, Read, 1, 2, 0.011259812
3, 5, Read, 1, 3, 0.011060694
4, 5, Read, 1, 5, 0.011280065
1, 5, Read, 1, 2, 0.014802860
2, 5, Read, 1, 3, 0.014221152
3, 5, Read, 1, 4, 0.013962670
0, 5, sync_write_read, 1, 2, 0.025188958
4, 5, Read, 1, 6, 0.013701253
1, 5, Read, 1, 3, 0.010946085
2, 5, Read, 1, 4, 0.010529970
3, 5, Read, 1, 5, 0.011105811
4, 5, Read, 1, 7, 0.013967279
1, 5, Read, 1, 4, 0.013407990
2, 5, Read, 1, 5, 0.013898555
3, 5, Read, 1, 6, 0.013426009
0, 5, sync_write_read, 1, 3, 0.024623313
4, 5, Read, 1, 8, 0.010622022
1, 5, Read, 1, 5, 0.011581500
2, 5, Read, 1, 6, 0.011572771
3, 5, Read, 1, 7, 0.011501044
4, 5, Read, 1, 9, 0.014461616
1, 5, Read, 1, 6, 0.013614790
2, 5, Read, 1, 7, 0.013475945
3, 5, Read, 1, 8, 0.013725489
0, 5, sync_write_read, 1, 4, 0.025389402
4, 5, Read, 1, 10, 0.012006276
1, 5, Read, 1, 7, 0.011954384
2, 5, Read, 1, 8, 0.012000548
3, 5, Read, 1, 9, 0.011872599
4, 5, Read, 1, 11, 0.013194764
1, 5, Read, 1, 8, 0.013689101
2, 5, Read, 1, 9, 0.013575469
3, 5, Read, 1, 10, 0.013457996
0, 5, sync_write_read, 1, 5, 0.025779605
4, 5, Read, 1, 12, 0.011402288
1, 5, Read, 1, 9, 0.011019418
2, 5, Read, 1, 10, 0.010991272
3, 5, Read, 1, 11, 0.011040719
4, 5, Read, 1, 13, 0.013552910
1, 5, Read, 1, 10, 0.013878441
2, 5, Read, 1, 11, 0.013797425
3, 5, Read, 1, 12, 0.013529863
4, 5, Read, 1, 14, 0.011170484
1, 5, Read, 1, 11, 0.011140383
2, 5, Read, 1, 12, 0.011184942
3, 5, Read, 1, 13, 0.014020638
0, 5, sync_write_read, 1, 6, 0.037932966
4, 5, Read, 1, 15, 0.013565971
1, 5, Read, 1, 12, 0.012941520
2, 5, Read, 1, 13, 0.012914911
3, 5, Read, 1, 14, 0.010191380
4, 5, Read, 1, 16, 0.010935259
1, 5, Read, 1, 13, 0.011211272
2, 5, Read, 1, 14, 0.011326580
3, 5, Read, 1, 15, 0.013987673
0, 5, sync_write_read, 1, 7, 0.024217465
4, 5, Read, 1, 17, 0.013307908
1, 5, Read, 1, 14, 0.013046840
2, 5, Read, 1, 15, 0.012965615
3, 5, Read, 1, 16, 0.010275049
4, 5, Read, 1, 18, 0.011290053
1, 5, Read, 1, 15, 0.011523043
2, 5, Read, 1, 16, 0.011486656
3, 5, Read, 1, 17, 0.014160949
0, 5, sync_write_read, 1, 8, 0.024948633
4, 5, Read, 1, 19, 0.013495850
1, 5, Read, 1, 16, 0.013566879
2, 5, Read, 1, 17, 0.013387875
3, 5, Read, 1, 18, 0.011443145
4, 5, Read, 1, 20, 0.011160777
1, 5, Read, 1, 17, 0.010810034
2, 5, Read, 1, 18, 0.011011456
3, 5, Read, 1, 19, 0.013249799
0, 5, sync_write_read, 1, 9, 0.024599846
4, 5, Read, 1, 21, 0.013179259
1, 5, Read, 1, 18, 0.013706980
2, 5, Read, 1, 19, 0.013498783
3, 5, Read, 1, 20, 0.011445171
4, 5, Read, 1, 22, 0.011540993
1, 5, Read, 1, 19, 0.011219024
2, 5, Read, 1, 20, 0.013923349
3, 5, Read, 1, 21, 0.013012339
0, 5, sync_write_read, 1, 10, 0.024755802
4, 5, Read, 1, 23, 0.013048377
1, 5, Read, 1, 20, 0.013046212
2, 5, Read, 1, 21, 0.010404606
3, 5, Read, 1, 22, 0.011423240
4, 5, Read, 1, 24, 0.011414231
1, 5, Read, 1, 21, 0.011384269
2, 5, Read, 1, 22, 0.014417755
3, 5, Read, 1, 23, 0.013685819
0, 5, sync_write_read, 1, 11, 0.024901491
4, 5, Read, 1, 25, 0.013673038
1, 5, Read, 1, 22, 0.013514917
2, 5, Read, 1, 23, 0.011256320
3, 5, Read, 1, 24, 0.010969831
4, 5, Read, 1, 26, 0.011035551
1, 5, Read, 1, 23, 0.014309362
2, 5, Read, 1, 24, 0.013548371
3, 5, Read, 1, 25, 0.014022664
0, 5, sync_write_read, 1, 12, 0.024773611
4, 5, Read, 1, 27, 0.013635882
1, 5, Read, 1, 24, 0.010370732
2, 5, Read, 1, 25, 0.011283977
3, 5, Read, 1, 26, 0.011078015
4, 5, Read, 1, 28, 0.011263653
1, 5, Read, 1, 25, 0.013864193
2, 5, Read, 1, 26, 0.012961215
3, 5, Read, 1, 27, 0.013195672
0, 5, sync_write_read, 1, 13, 0.024336404
4, 5, Read, 1, 29, 0.013147342
1, 5, Read, 1, 26, 0.011317291
2, 5, Read, 1, 27, 0.011668663
3, 5, Read, 1, 28, 0.011639958
4, 5, Read, 1, 30, 0.011506911
1, 5, Read, 1, 27, 0.013691894
2, 5, Read, 1, 28, 0.013555704
3, 5, Read, 1, 29, 0.013305323
0, 5, sync_write_read, 1, 14, 0.025043548
4, 5, Read, 1, 31, 0.013130301
1, 5, Read, 1, 28, 0.010835805
2, 5, Read, 1, 29, 0.010557698
3, 5, Read, 1, 30, 0.010823443
4, 5, Read, 1, 32, 0.014113247
1, 5, Read, 1, 29, 0.013418327
2, 5, Read, 1, 30, 0.013862307
3, 5, Read, 1, 31, 0.013370625
0, 5, sync_write_read, 1, 15, 0.024305814
4, 5, Read, 1, 33, 0.010218269
1, 5, Read, 1, 30, 0.010914167
2, 5, Read, 1, 31, 0.010593875
3, 5, Read, 1, 32, 0.011263653
4, 5, Read, 1, 34, 0.014088593
1, 5, Read, 1, 31, 0.013348835
2, 5, Read, 1, 32, 0.013730168
3, 5, Read, 1, 33, 0.013064720
0, 5, sync_write_read, 1, 16, 0.024413929
4, 5, Read, 1, 35, 0.010285177
1, 5, Read, 1, 32, 0.011332516
2, 5, Read, 1, 33, 0.011192904
3, 5, Read, 1, 34, 0.011330561
4, 5, Read, 1, 36, 0.014070784
1, 5, Read, 1, 33, 0.013048726
2, 5, Read, 1, 34, 0.013446123
3, 5, Read, 1, 35, 0.013505558
0, 5, sync_write_read, 1, 17, 0.024610531
4, 5, Read, 1, 37, 0.011229710
1, 5, Read, 1, 34, 0.011248497
2, 5, Read, 1, 35, 0.011820218
3, 5, Read, 1, 36, 0.011734872
4, 5, Read, 1, 38, 0.013788066
1, 5, Read, 1, 35, 0.014210467
