starting workers
starting test
Thread, # threads, Test type, e6axis, Test #, Time (s)
1, 5, Read, 0, 0, 0.039780268
2, 5, Read, 0, 0, 0.045421279
1, 5, Read, 0, 1, 0.007904776
3, 5, Read, 0, 0, 0.055500214
2, 5, Read, 0, 1, 0.011874834
1, 5, Read, 0, 2, 0.011869596
3, 5, Read, 0, 1, 0.011729355
2, 5, Read, 0, 2, 0.011756383
1, 5, Read, 0, 3, 0.011762809
4, 5, Read, 0, 0, 0.074492853
3, 5, Read, 0, 2, 0.013681349
2, 5, Read, 0, 3, 0.014096974
1, 5, Read, 0, 4, 0.013766276
4, 5, Read, 0, 1, 0.020897909
0, 5, sync_write_read, 0, 0, 0.097547321
3, 5, Read, 0, 3, 0.018497324
2, 5, Read, 0, 4, 0.021194595
1, 5, Read, 0, 5, 0.021330367
4, 5, Read, 0, 2, 0.013262092
3, 5, Read, 0, 4, 0.013074637
2, 5, Read, 0, 5, 0.010704364
1, 5, Read, 0, 6, 0.010383304
4, 5, Read, 0, 3, 0.010984148
3, 5, Read, 0, 5, 0.011078015
2, 5, Read, 0, 6, 0.013191971
1, 5, Read, 0, 7, 0.013471475
4, 5, Read, 0, 4, 0.012990898
0, 5, sync_write_read, 0, 1, 0.037292242
3, 5, Read, 0, 6, 0.012890466
2, 5, Read, 0, 7, 0.010793202
1, 5, Read, 0, 8, 0.010567126
4, 5, Read, 0, 5, 0.010692142
3, 5, Read, 0, 7, 0.010751437
2, 5, Read, 0, 8, 0.013004586
1, 5, Read, 0, 9, 0.013272568
4, 5, Read, 0, 6, 0.013069678
0, 5, sync_write_read, 0, 2, 0.023890049
3, 5, Read, 0, 8, 0.013012479
2, 5, Read, 0, 9, 0.010796415
1, 5, Read, 0, 10, 0.010474726
4, 5, Read, 0, 7, 0.010558535
3, 5, Read, 0, 9, 0.010574320
2, 5, Read, 0, 10, 0.013028682
1, 5, Read, 0, 11, 0.013370415
4, 5, Read, 0, 8, 0.013261952
0, 5, sync_write_read, 0, 3, 0.023915332
3, 5, Read, 0, 10, 0.013343177
2, 5, Read, 0, 11, 0.010865697
1, 5, Read, 0, 12, 0.010615037
4, 5, Read, 0, 9, 0.010698777
3, 5, Read, 0, 11, 0.010881272
2, 5, Read, 0, 12, 0.013056759
1, 5, Read, 0, 13, 0.013690009
4, 5, Read, 0, 10, 0.013578752
0, 5, sync_write_read, 0, 4, 0.024195675
3, 5, Read, 0, 12, 0.013281158
2, 5, Read, 0, 13, 0.011160847
1, 5, Read, 0, 14, 0.010579837
4, 5, Read, 0, 11, 0.010844256
3, 5, Read, 0, 13, 0.010858294
2, 5, Read, 0, 14, 0.013030987
1, 5, Read, 0, 15, 0.013217532
4, 5, Read, 0, 12, 0.012948993
0, 5, sync_write_read, 0, 5, 0.023825656
3, 5, Read, 0, 14, 0.013037342
2, 5, Read, 0, 15, 0.010823653
1, 5, Read, 0, 16, 0.010525570
4, 5, Read, 0, 13, 0.010794250
3, 5, Read, 0, 15, 0.010715887
2, 5, Read, 0, 16, 0.012862739
1, 5, Read, 0, 17, 0.013710053
4, 5, Read, 0, 14, 0.013362802
0, 5, sync_write_read, 0, 6, 0.024213065
3, 5, Read, 0, 16, 0.013390600
2, 5, Read, 0, 17, 0.011248917
1, 5, Read, 0, 18, 0.010387494
4, 5, Read, 0, 15, 0.010721685
3, 5, Read, 0, 17, 0.013831018
2, 5, Read, 0, 18, 0.013883539
1, 5, Read, 0, 19, 0.014428022
