starting workers
starting test
Thread, # threads, Test type, e6axis, Test #, Time (s)
0, 1, Read, 0, 0, 0.003829894
0, 1, Read, 0, 1, 0.002332614
0, 1, Read, 0, 2, 0.002118121
0, 1, Read, 0, 3, 0.003339492
0, 1, Read, 0, 4, 0.001900643
0, 1, Read, 0, 5, 0.002060534
0, 1, Read, 0, 6, 0.001880589
0, 1, Read, 0, 7, 0.002094339
0, 1, Read, 0, 8, 0.004837623
0, 1, Read, 0, 9, 0.002021829
0, 1, Read, 0, 10, 0.001903489
0, 1, Read, 0, 11, 0.002023127
0, 1, Read, 0, 12, 0.001926721
0, 1, Read, 0, 13, 0.002829311
0, 1, Read, 0, 14, 0.001841242
0, 1, Read, 0, 15, 0.002371658
0, 1, Read, 0, 16, 0.001859367
0, 1, Read, 0, 17, 0.002041052
0, 1, Read, 0, 18, 0.004915110
0, 1, Read, 0, 19, 0.002092843
0, 1, Read, 0, 20, 0.001889474
0, 1, Read, 0, 21, 0.002073137
0, 1, Read, 0, 22, 0.001970555
0, 1, Read, 0, 23, 0.002794340
0, 1, Read, 0, 24, 0.001887268
0, 1, Read, 0, 25, 0.002044650
0, 1, Read, 0, 26, 0.001906794
0, 1, Read, 0, 27, 0.002065783
0, 1, Read, 0, 28, 0.004921724
0, 1, Read, 0, 29, 0.002046568
0, 1, Read, 0, 30, 0.001877598
0, 1, Read, 0, 31, 0.002170766
0, 1, Read, 0, 32, 0.001961487
0, 1, Read, 0, 33, 0.002729555
0, 1, Read, 0, 34, 0.001898060
0, 1, Read, 0, 35, 0.002040134
0, 1, Read, 0, 36, 0.001904787
0, 1, Read, 0, 37, 0.002055183
0, 1, Read, 0, 38, 0.004876912
0, 1, Read, 0, 39, 0.002134292
0, 1, Read, 0, 40, 0.001880076
0, 1, Read, 0, 41, 0.002064346
0, 1, Read, 0, 42, 0.001983929
0, 1, Read, 0, 43, 0.002824216
0, 1, Read, 0, 44, 0.001994354
0, 1, Read, 0, 45, 0.002062977
0, 1, Read, 0, 46, 0.001909820
0, 1, Read, 0, 47, 0.002054687
0, 1, Read, 0, 48, 0.004998517
0, 1, Read, 0, 49, 0.002106271
0, 1, Read, 0, 50, 0.001946723
0, 1, Read, 0, 51, 0.002085436
0, 1, Read, 0, 52, 0.002091753
0, 1, Read, 0, 53, 0.002583078
0, 1, Read, 0, 54, 0.001890172
0, 1, Read, 0, 55, 0.002009856
0, 1, Read, 0, 56, 0.002225699
0, 1, Read, 0, 57, 0.002071630
0, 1, Read, 0, 58, 0.004733943
0, 1, Read, 0, 59, 0.002047540
0, 1, Read, 0, 60, 0.001907624
0, 1, Read, 0, 61, 0.002056102
0, 1, Read, 0, 62, 0.001982605
0, 1, Read, 0, 63, 0.002656815
0, 1, Read, 0, 64, 0.001924106
0, 1, Read, 0, 65, 0.002065038
0, 1, Read, 0, 66, 0.001882938
0, 1, Read, 0, 67, 0.002081857
0, 1, Read, 0, 68, 0.004926343
0, 1, Read, 0, 69, 0.002115261
0, 1, Read, 0, 70, 0.001872694
0, 1, Read, 0, 71, 0.002056665
0, 1, Read, 0, 72, 0.002016212
0, 1, Read, 0, 73, 0.002769620
0, 1, Read, 0, 74, 0.001883267
0, 1, Read, 0, 75, 0.002021868
0, 1, Read, 0, 76, 0.001861432
0, 1, Read, 0, 77, 0.002194376
0, 1, Read, 0, 78, 0.004836682
0, 1, Read, 0, 79, 0.002041507
0, 1, Read, 0, 80, 0.001893510
0, 1, Read, 0, 81, 0.002204756
0, 1, Read, 0, 82, 0.002023943
0, 1, Read, 0, 83, 0.002576624
0, 1, Read, 0, 84, 0.001897358
0, 1, Read, 0, 85, 0.002017381
0, 1, Read, 0, 86, 0.001898060
0, 1, Read, 0, 87, 0.002034548
0, 1, Read, 0, 88, 0.004835301
0, 1, Read, 0, 89, 0.002079060
0, 1, Read, 0, 90, 0.001858645
0, 1, Read, 0, 91, 0.002067591
0, 1, Read, 0, 92, 0.001944004
0, 1, Read, 0, 93, 0.002741343
0, 1, Read, 0, 94, 0.001925988
0, 1, Read, 0, 95, 0.002015423
0, 1, Read, 0, 96, 0.001837643
0, 1, Read, 0, 97, 0.002016779
0, 1, Read, 0, 98, 0.004782641
0, 1, Read, 0, 99, 0.001792441
0, 1, Read, 0, 100, 0.002043054
0, 1, Read, 0, 101, 0.001800674
0, 1, Read, 0, 102, 0.002168102
0, 1, Read, 0, 103, 0.002871174
0, 1, Read, 0, 104, 0.001883771
0, 1, Read, 0, 105, 0.002061205
0, 1, Read, 0, 106, 0.001871753
0, 1, Read, 0, 107, 0.002093174
0, 1, Read, 0, 108, 0.004633948
0, 1, Read, 0, 109, 0.001910415
0, 1, Read, 0, 110, 0.002043779
0, 1, Read, 0, 111, 0.001936647
0, 1, Read, 0, 112, 0.002062305
0, 1, Read, 0, 113, 0.002191960
0, 1, Read, 0, 114, 0.002684117
0, 1, Read, 0, 115, 0.002228144
0, 1, Read, 0, 116, 0.001885388
0, 1, Read, 0, 117, 0.002052299
0, 1, Read, 0, 118, 0.004751483
0, 1, Read, 0, 119, 0.001994681
0, 1, Read, 0, 120, 0.002071567
0, 1, Read, 0, 121, 0.001908363
0, 1, Read, 0, 122, 0.002085970
0, 1, Read, 0, 123, 0.003383863
0, 1, Read, 0, 124, 0.001950743
0, 1, Read, 0, 125, 0.002070263
0, 1, Read, 0, 126, 0.001841800
0, 1, Read, 0, 127, 0.002045023
0, 1, Read, 0, 128, 0.004931056
0, 1, Read, 0, 129, 0.002074640
0, 1, Read, 0, 130, 0.001886909
0, 1, Read, 0, 131, 0.002129872
0, 1, Read, 0, 132, 0.001986688
0, 1, Read, 0, 133, 0.002758630
0, 1, Read, 0, 134, 0.001954739
0, 1, Read, 0, 135, 0.002045096
0, 1, Read, 0, 136, 0.001914976
0, 1, Read, 0, 137, 0.002049715
0, 1, Read, 0, 138, 0.004856977
0, 1, Read, 0, 139, 0.002474654
0, 1, Read, 0, 140, 0.001856270
0, 1, Read, 0, 141, 0.002039334
0, 1, Read, 0, 142, 0.001989880
0, 1, Read, 0, 143, 0.002615298
0, 1, Read, 0, 144, 0.001922256
0, 1, Read, 0, 145, 0.002021108
0, 1, Read, 0, 146, 0.001845679
0, 1, Read, 0, 147, 0.002070765
0, 1, Read, 0, 148, 0.004856729
0, 1, Read, 0, 149, 0.002040765
0, 1, Read, 0, 150, 0.001978530
0, 1, Read, 0, 151, 0.002053013
0, 1, Read, 0, 152, 0.002093848
0, 1, Read, 0, 153, 0.002651232
0, 1, Read, 0, 154, 0.001895465
0, 1, Read, 0, 155, 0.002045643
0, 1, Read, 0, 156, 0.001898950
0, 1, Read, 0, 157, 0.002157059
0, 1, Read, 0, 158, 0.004784383
0, 1, Read, 0, 159, 0.002006767
0, 1, Read, 0, 160, 0.002014070
0, 1, Read, 0, 161, 0.002025326
0, 1, Read, 0, 162, 0.001918208
0, 1, Read, 0, 163, 0.002746319
0, 1, Read, 0, 164, 0.001895681
0, 1, Read, 0, 165, 0.002049402
0, 1, Read, 0, 166, 0.001868455
0, 1, Read, 0, 167, 0.002032423
0, 1, Read, 0, 168, 0.005184494
0, 1, Read, 0, 169, 0.002077439
0, 1, Read, 0, 170, 0.001884401
0, 1, Read, 0, 171, 0.002061239
0, 1, Read, 0, 172, 0.001963091
0, 1, Read, 0, 173, 0.002762624
0, 1, Read, 0, 174, 0.001847868
0, 1, Read, 0, 175, 0.002021104
0, 1, Read, 0, 176, 0.001861656
0, 1, Read, 0, 177, 0.002048434
0, 1, Read, 0, 178, 0.004844657
0, 1, Read, 0, 179, 0.001725451
0, 1, Read, 0, 180, 0.001903688
0, 1, Read, 0, 181, 0.002426245
0, 1, Read, 0, 182, 0.001920920
0, 1, Read, 0, 183, 0.002801473
0, 1, Read, 0, 184, 0.001881900
0, 1, Read, 0, 185, 0.002015719
0, 1, Read, 0, 186, 0.001848558
0, 1, Read, 0, 187, 0.002004932
0, 1, Read, 0, 188, 0.004388500
0, 1, Read, 0, 189, 0.001869223
0, 1, Read, 0, 190, 0.002012720
0, 1, Read, 0, 191, 0.001839518
0, 1, Read, 0, 192, 0.002031246
0, 1, Read, 0, 193, 0.002183115
0, 1, Read, 0, 194, 0.002759555
0, 1, Read, 0, 195, 0.002052218
0, 1, Read, 0, 196, 0.001903101
0, 1, Read, 0, 197, 0.002067624
0, 1, Read, 0, 198, 0.004744704
0, 1, Read, 0, 199, 0.001920463
0, 1, Read, 0, 200, 0.002068793
0, 1, Read, 0, 201, 0.001905524
0, 1, Read, 0, 202, 0.002061426
0, 1, Read, 0, 203, 0.002239694
0, 1, Read, 0, 204, 0.002711052
0, 1, Read, 0, 205, 0.002034304
0, 1, Read, 0, 206, 0.001885384
0, 1, Read, 0, 207, 0.002089853
0, 1, Read, 0, 208, 0.004836817
0, 1, Read, 0, 209, 0.002061358
0, 1, Read, 0, 210, 0.002058153
0, 1, Read, 0, 211, 0.001953163
0, 1, Read, 0, 212, 0.002103014
0, 1, Read, 0, 213, 0.002185465
0, 1, Read, 0, 214, 0.002616440
0, 1, Read, 0, 215, 0.002183951
0, 1, Read, 0, 216, 0.001924931
0, 1, Read, 0, 217, 0.002107380
0, 1, Read, 0, 218, 0.004619813
0, 1, Read, 0, 219, 0.002017878
0, 1, Read, 0, 220, 0.002063380
0, 1, Read, 0, 221, 0.001899395
0, 1, Read, 0, 222, 0.002059885
0, 1, Read, 0, 223, 0.003410636
0, 1, Read, 0, 224, 0.001902750
0, 1, Read, 0, 225, 0.002060966
0, 1, Read, 0, 226, 0.001945310
0, 1, Read, 0, 227, 0.002091209
0, 1, Read, 0, 228, 0.004889278
0, 1, Read, 0, 229, 0.002077669
0, 1, Read, 0, 230, 0.001926847
0, 1, Read, 0, 231, 0.002169314
0, 1, Read, 0, 232, 0.002077192
0, 1, Read, 0, 233, 0.002765930
0, 1, Read, 0, 234, 0.001934846
0, 1, Read, 0, 235, 0.002078573
0, 1, Read, 0, 236, 0.001947080
0, 1, Read, 0, 237, 0.002081997
0, 1, Read, 0, 238, 0.004913855
0, 1, Read, 0, 239, 0.002226279
0, 1, Read, 0, 240, 0.001879096
0, 1, Read, 0, 241, 0.002039328
0, 1, Read, 0, 242, 0.002065735
0, 1, Read, 0, 243, 0.002603604
0, 1, Read, 0, 244, 0.002118553
0, 1, Read, 0, 245, 0.002064584
0, 1, Read, 0, 246, 0.001785348
0, 1, Read, 0, 247, 0.002070207
0, 1, Read, 0, 248, 0.004896493
0, 1, Read, 0, 249, 0.002074664
0, 1, Read, 0, 250, 0.001924102
0, 1, Read, 0, 251, 0.002040044
0, 1, Read, 0, 252, 0.002216603
0, 1, Read, 0, 253, 0.002516958
0, 1, Read, 0, 254, 0.001937983
0, 1, Read, 0, 255, 0.002079840
0, 1, Read, 0, 256, 0.001878281
0, 1, Read, 0, 257, 0.002176030
0, 1, Read, 0, 258, 0.004726566
0, 1, Read, 0, 259, 0.002089736
