Test,Time
0,0.236819880
1,0.022756160
2,0.002793040
3,0.005731432
4,0.005986838
5,0.010941457
6,0.002429572
7,0.004818100
8,0.004541368
9,0.002236762
10,0.002506354
11,0.007916048
12,0.006233975
13,0.002653376
14,0.002334540
15,0.028043876
16,0.006144395
17,0.004860194
18,0.004032462
19,0.002327450
20,0.008345589
21,0.006260156
22,0.005567126
23,0.002305938
24,0.002328968
25,0.007448522
26,0.005930041
27,0.004405043
28,0.003215089
30,0.007603508
31,0.004608191
32,0.003061941
33,0.002557337
34,0.002830743
35,0.006152335
36,0.005733470
37,0.003564543
38,0.009794272
39,0.007703033
40,0.005545439
41,0.004043928
42,0.002006534
43,0.018096816
44,0.006849107
45,0.004046379
46,0.003812599
47,0.002455335
48,0.008648051
49,0.006645616
50,0.006388146
51,0.002049515
52,0.002308313
53,0.027892500
54,0.006982775
55,0.002819611
56,0.002091570
57,0.009430036
58,0.007465126
59,0.003559087
60,0.002202672
61,0.019536382
62,0.009625771
63,0.005472591
64,0.004333977
65,0.002379542
66,0.008086217
67,0.007055348
68,0.006132830
69,0.003151642
70,0.002373041
71,0.008466528
72,0.007444884
73,0.005300611
74,0.003789992
75,0.019424442
76,0.009478837
77,0.006039984
78,0.004180282
79,0.002037451
80,0.009102379
81,0.007180224
82,0.006248690
83,0.002202478
84,0.002230556
85,0.019453001
86,0.008628607
87,0.002974284
88,0.003011710
89,0.002390778
90,0.002283586
91,0.007033970
92,0.005547564
93,0.002302306
94,0.002572367
95,0.007915995
96,0.005238844
97,0.003043105
98,0.002218732
99,0.029587407
100,0.007822502
101,0.004363936
102,0.004936977
103,0.002379044
104,0.009667201
105,0.006153482
106,0.005284581
107,0.002189460
108,0.002216196
109,0.006690054
110,0.017173062
111,0.003556321
112,0.002048803
113,0.019952252
114,0.009155492
115,0.004504717
116,0.004332762
117,0.002339773
118,0.008408551
119,0.005235385
120,0.005340756
121,0.003509369
122,0.002583318
123,0.008988124
124,0.005862894
125,0.003481207
126,0.002945925
127,0.009839728
128,0.007314486
129,0.006221023
130,0.014292088
131,0.002384946
132,0.008252217
133,0.006401880
134,0.005728195
135,0.002547887
136,0.002334730
137,0.006824115
138,0.006967773
139,0.002909588
140,0.002433467
141,0.019543662
142,0.007938570
143,0.004275711
144,0.004223247
145,0.002451897
146,0.002592366
147,0.006298642
148,0.005940040
149,0.002888498
150,0.002259343
151,0.006316306
152,0.005480675
153,0.005265009
154,0.002231878
155,0.008236520
156,0.007203588
157,0.004602224
158,0.003788727
159,0.003158371
160,0.002274035
161,0.002473292
162,0.002359739
163,0.009928745
164,0.006970954
165,0.005754608
166,0.005618800
167,0.003441990
168,0.003418117
169,0.002277914
170,0.002538898
171,0.009376366
172,0.008857463
173,0.006939798
174,0.004986217
175,0.005132465
176,0.004325812
177,0.003237137
178,0.002221801
179,0.002420235
180,0.009984122
181,0.009319101
182,0.006856382
183,0.004792718
184,0.004105633
185,0.003942443
186,0.003821776
187,0.002082839
188,0.002461369
189,0.002534849
190,0.008010643
191,0.005999535
192,0.004943221
193,0.004100835
194,0.003616747
195,0.002800258
196,0.002516475
197,0.009977835
198,0.008968639
199,0.007668651
200,0.006879236
201,0.004460781
202,0.005331819
203,0.004338133
204,0.002275689
205,0.002242054
206,0.008757836
207,0.009495039
208,0.007907917
209,0.006887964
210,0.004975585
211,0.003373875
212,0.002017941
213,0.002327912
214,0.002400305
215,0.009022799
216,0.007553081
217,0.007658597
218,0.007437490
219,0.005635325
220,0.002890727
221,0.003896845
222,0.002299179
223,0.002411214
224,0.002522108
225,0.008238888
226,0.007334979
227,0.005565340
228,0.005976260
229,0.004521419
230,0.002065108
231,0.002309932
232,0.002250788
233,0.008834361
234,0.008777300
235,0.007792081
236,0.006077422
237,0.005221566
238,0.003684163
239,0.002282028
240,0.002494105
241,0.002295132
242,0.008538548
243,0.007645220
244,0.005587713
245,0.006111554
246,0.004178575
247,0.002564239
248,0.002234838
249,0.002432513
250,0.002572228
251,0.008853081
252,0.007621863
253,0.005606463
254,0.006456372
255,0.004772277
256,0.004674534
257,0.002344104
258,0.002733128
259,0.009039822
260,0.008120220
261,0.008131245
262,0.005396123
263,0.004805050
264,0.004395731
265,0.002641746
266,0.002253668
267,0.002298287
268,0.008952520
269,0.008255071
270,0.006962181
271,0.005088686
272,0.005503855
273,0.004238852
274,0.003189470
275,0.002049573
276,0.002256435
277,0.009011927
278,0.008735157
279,0.007002382
280,0.006449392
281,0.005591308
282,0.004681981
283,0.003973859
284,0.002315070
285,0.009207191
286,0.009322990
287,0.008573695
288,0.007178182
289,0.006236534
290,0.004118544
291,0.004052505
292,0.003151675
293,0.002785670
294,0.002527638
295,0.007319089
296,0.008130764
297,0.006506662
298,0.005346108
299,0.005402374
