Test,Time
0,0.386138982
1,0.357830990
2,0.427940563
3,0.448917659
4,0.408878045
5,0.418806368
6,0.298844499
7,0.437857827
8,0.378874106
9,0.468868419
10,0.457876786
11,0.358773602
12,0.327872572
13,0.298813464
14,0.367859241
15,0.297795428
16,0.417864078
17,0.428846506
18,0.358801975
19,0.378774142
20,0.407788816
21,0.248763548
22,0.318865205
23,0.338810355
24,0.357876739
25,0.337859401
26,0.447833236
27,0.447798594
28,0.457834183
29,0.008809601
30,0.328886363
31,0.118789202
32,0.408767837
33,0.438851432
34,0.467829556
35,0.327829425
36,0.467869945
37,0.447836178
38,0.378860616
39,0.417812280
40,0.388814547
41,0.437815965
42,0.428836409
43,0.448862766
44,0.408845554
45,0.337790961
46,0.407844256
47,0.447835794
48,0.308797682
49,0.397839988
50,0.397855309
51,0.397856558
52,0.307900751
53,0.437845678
54,0.427851002
55,0.458864256
56,0.387852424
57,0.447857453
58,0.457857043
59,0.317863319
60,0.357852194
61,0.328874948
62,0.368788871
63,0.307803007
64,0.407817219
65,0.448860764
66,0.297829319
67,0.328821951
68,0.297894249
69,0.428766200
70,0.398903416
71,0.388922930
72,0.368813893
73,0.357836841
74,0.428838719
75,0.068844603
76,0.367886904
77,0.358868919
78,0.367839892
79,0.297825157
80,0.378853062
81,0.417846550
82,0.467862877
83,0.417834475
84,0.348835027
85,0.387860337
86,0.068863106
87,0.418811159
88,0.447878186
89,0.457889490
90,0.407859741
91,0.348862980
92,0.298864183
93,0.457804552
94,0.438825808
95,0.337790611
96,0.417804589
97,0.378838719
98,0.318845865
99,0.448792202
