Test,Time
Read timed out!
1,0.066269042
2,0.059881847
3,0.038869328
4,0.059890577
5,0.039866243
6,0.058883535
7,0.069903931
8,0.059914672
9,0.059855586
10,0.059888761
11,0.059881568
12,0.058854621
13,0.059904335
14,0.059850419
15,0.069907284
16,0.059930107
17,0.059919700
18,0.059912507
19,0.068898706
20,0.059934856
21,0.059850348
22,0.058880393
23,0.059927383
24,0.059921028
25,0.059870882
26,0.059849161
27,0.068883480
28,0.059908596
29,0.059844901
30,0.059852025
31,0.059861732
32,0.059924799
33,0.059873815
34,0.059870742
35,0.059868786
36,0.059904894
37,0.069886681
38,0.068929436
39,0.070986610
40,0.058943459
41,0.059836101
42,0.069875575
43,0.058859022
44,0.059869625
45,0.058902253
46,0.059860894
47,0.059883663
48,0.059909574
49,0.059861732
50,0.039863309
51,0.059876609
52,0.059922425
53,0.068787379
54,0.058974469
55,0.069895969
56,0.059918234
57,0.059800901
58,0.059891904
59,0.069859303
60,0.029855752
61,0.060856761
62,0.039907799
63,0.059884710
64,0.058909237
65,0.059831212
66,0.059907549
67,0.069927398
68,0.059847624
69,0.059851047
70,0.069791487
71,0.039872808
72,0.058889053
73,0.059819269
74,0.039894738
75,0.059868996
76,0.059873117
77,0.068856382
78,0.059879892
79,0.039924631
80,0.058900018
81,0.069891220
82,0.029865739
83,0.059917186
84,0.039837398
85,0.059831840
86,0.059854958
87,0.058916640
88,0.069914338
89,0.060881415
90,0.039875392
91,0.069949817
92,0.029889136
93,0.059884849
94,0.039902630
95,0.059884222
96,0.039944185
97,0.069869709
98,0.059899796
99,0.068901569
