Thread, #Threads, Test type, E6AXIS, Test #, Time (s)
4, 5, Read, 1, 0, 0.008005069
4, 5, Read, 1, 1, 0.002475385
4, 5, Read, 1, 2, 0.00223562
4, 5, Read, 1, 3, 0.002936687
4, 5, Read, 1, 4, 0.002054382
4, 5, Read, 1, 5, 0.002535448
4, 5, Read, 1, 6, 0.002358819
4, 5, Read, 1, 7, 0.005077531
4, 5, Read, 1, 8, 0.002994794
4, 5, Read, 1, 9, 0.002171156
4, 5, Read, 1, 10, 0.002194413
4, 5, Read, 1, 11, 0.002876343
4, 5, Read, 1, 12, 0.002317404
4, 5, Read, 1, 13, 0.002867823
4, 5, Read, 1, 14, 0.00227899
4, 5, Read, 1, 15, 0.004644935
4, 5, Read, 1, 16, 0.002106553
4, 5, Read, 1, 17, 0.002689867
4, 5, Read, 1, 18, 0.002308813
4, 5, Read, 1, 19, 0.00208553
4, 5, Read, 1, 20, 0.003069385
4, 5, Read, 1, 21, 0.002332001
4, 5, Read, 1, 22, 0.00224414
4, 5, Read, 1, 23, 0.002211454
4, 5, Read, 1, 24, 0.00497696
4, 5, Read, 1, 25, 0.002389759
4, 5, Read, 1, 26, 0.002190572
4, 5, Read, 1, 27, 0.002238414
4, 5, Read, 1, 28, 0.002107321
4, 5, Read, 1, 29, 0.00305835
4, 5, Read, 1, 30, 0.002679112
4, 5, Read, 1, 31, 0.002101525
4, 5, Read, 1, 32, 0.004965715
4, 5, Read, 1, 33, 0.002073308
4, 5, Read, 1, 34, 0.00256939
4, 5, Read, 1, 35, 0.001979512
4, 5, Read, 1, 36, 0.002201187
4, 5, Read, 1, 37, 0.002902394
4, 5, Read, 1, 38, 0.002065417
4, 5, Read, 1, 39, 0.002806711
4, 5, Read, 1, 40, 0.002186172
4, 5, Read, 1, 41, 0.004737055
4, 5, Read, 1, 42, 0.002047677
4, 5, Read, 1, 43, 0.002707467
4, 5, Read, 1, 44, 0.002228915
4, 5, Read, 1, 45, 0.001998858
4, 5, Read, 1, 46, 0.002726185
4, 5, Read, 1, 47, 0.002365035
4, 5, Read, 1, 48, 0.00273701
4, 5, Read, 1, 49, 0.002151531
4, 5, Read, 1, 50, 0.004918922
4, 5, Read, 1, 51, 0.002303505
4, 5, Read, 1, 52, 0.002215365
4, 5, Read, 1, 53, 0.002184496
4, 5, Read, 1, 54, 0.001997112
4, 5, Read, 1, 55, 0.002956312
4, 5, Read, 1, 56, 0.002352674
4, 5, Read, 1, 57, 0.002171435
4, 5, Read, 1, 58, 0.002172133
4, 5, Read, 1, 59, 0.004983385
4, 5, Read, 1, 60, 0.002495079
4, 5, Read, 1, 61, 0.00205019
4, 5, Read, 1, 62, 0.002330394
4, 5, Read, 1, 63, 0.001858127
4, 5, Read, 1, 64, 0.002532934
4, 5, Read, 1, 65, 0.002377187
4, 5, Read, 1, 66, 0.002518756
4, 5, Read, 1, 67, 0.004873315
4, 5, Read, 1, 68, 0.002009893
4, 5, Read, 1, 69, 0.002422096
4, 5, Read, 1, 70, 0.002027981
4, 5, Read, 1, 71, 0.002193505
4, 5, Read, 1, 72, 0.001836826
4, 5, Read, 1, 73, 0.002735054
4, 5, Read, 1, 74, 0.002379702
4, 5, Read, 1, 75, 0.002061016
4, 5, Read, 1, 76, 0.002189874
4, 5, Read, 1, 77, 0.004896712
4, 5, Read, 1, 78, 0.00239416
4, 5, Read, 1, 79, 0.002105365
4, 5, Read, 1, 80, 0.002168432
4, 5, Read, 1, 81, 0.002019391
4, 5, Read, 1, 82, 0.00289094
4, 5, Read, 1, 83, 0.00240708
4, 5, Read, 1, 84, 0.002074845
4, 5, Read, 1, 85, 0.002196997
4, 5, Read, 1, 86, 0.005061817
4, 5, Read, 1, 87, 0.00235421
4, 5, Read, 1, 88, 0.002075264
4, 5, Read, 1, 89, 0.002170458
4, 5, Read, 1, 90, 0.001996552
4, 5, Read, 1, 91, 0.00290393
4, 5, Read, 1, 92, 0.00237635
4, 5, Read, 1, 93, 0.002151112
4, 5, Read, 1, 94, 0.002212712
