Test,Time
0,0.500656789
1,0.500844604
2,0.500858085
3,0.500865649
4,0.500861365
5,0.500844544
6,0.500883140
7,0.500849741
8,0.500867367
9,0.500863113
10,0.500859520
11,0.500860093
12,0.500857744
13,0.500862246
14,0.500855580
15,0.500844540
16,0.500866636
17,0.500838769
18,0.500867886
19,0.500829904
20,0.500807968
21,0.500861417
22,0.500849527
23,0.500864191
24,0.500805333
25,0.500884197
26,0.500881265
27,0.500922090
28,0.500804283
29,0.500881181
30,0.500869366
31,0.500857777
32,0.500876717
33,0.500859265
34,0.500874749
35,0.500827007
36,0.500865882
37,0.500907334
38,0.500812082
39,0.500847477
40,0.500872204
41,0.500842130
42,0.500862820
43,0.500863473
44,0.500862045
45,0.500855121
46,0.500864966
47,0.500868843
48,0.500889753
49,0.500837342
50,0.500853003
51,0.500836107
52,0.500855878
53,0.500842540
54,0.500835954
55,0.500823912
56,0.500893324
57,0.500841079
58,0.500847386
59,0.500841802
60,0.500864685
61,0.500818778
62,0.500837818
63,0.500906780
64,0.500864541
65,0.500899857
66,0.500790726
67,0.500804213
68,0.500908010
69,0.500890828
70,0.500770504
71,0.500822220
72,0.500834505
73,0.500821306
74,0.500862286
75,0.500821301
76,0.500897340
77,0.500844234
78,0.500877538
79,0.500849639
80,0.500888043
81,0.500833459
82,0.500882843
83,0.500842993
84,0.500872474
85,0.500832249
86,0.500813733
87,0.500837821
88,0.500892834
89,0.500890114
90,0.500817201
91,0.500854665
92,0.500869528
93,0.500873278
94,0.500837997
95,0.500887831
96,0.500842017
97,0.500831359
98,0.500829995
99,0.500843974
100,0.500855710
101,0.500829216
102,0.500852239
103,0.500847758
104,0.500868731
105,0.500839092
106,0.500822834
107,0.500831598
108,0.500821425
109,0.500843672
110,0.500842499
111,0.500873610
112,0.500800485
113,0.500874992
114,0.500846840
115,0.500832766
116,0.500873726
117,0.500787770
118,0.500850542
119,0.500818726
120,0.500859911
121,0.500859124
122,0.500831693
123,0.500826734
124,0.500838886
125,0.500840063
126,0.500836470
127,0.500854492
128,0.500802741
129,0.500851295
130,0.500815872
131,0.500805865
132,0.500860929
133,0.500797825
134,0.500871571
135,0.500830359
136,0.500850126
137,0.500836147
138,0.500822183
139,0.500858190
140,0.500806053
141,0.500810699
142,0.500847972
143,0.500896851
144,0.500818109
145,0.500821118
146,0.500837151
147,0.500840743
148,0.500862419
149,0.500786218
150,0.500865207
151,0.500830632
152,0.500854225
153,0.500844098
154,0.500870215
155,0.500807991
156,0.500796303
157,0.500922257
158,0.500865347
159,0.500839814
160,0.500890534
161,0.500766872
162,0.500868644
163,0.500851551
164,0.500825814
165,0.500805276
166,0.500850629
167,0.500866703
168,0.500791852
169,0.500835459
170,0.500847560
171,0.500868094
172,0.500867570
173,0.500845584
174,0.500813044
175,0.500835315
176,0.500824434
177,0.500830140
178,0.500866020
179,0.500861280
180,0.500841846
181,0.500806182
182,0.500877309
183,0.500835343
184,0.500864976
185,0.500807054
186,0.500821520
187,0.500844542
188,0.500807320
189,0.500813090
190,0.500875198
191,0.500797817
192,0.500857329
193,0.500833815
194,0.500794217
195,0.500827773
196,0.500844875
197,0.500831321
198,0.500863679
199,0.500842686
