PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
Bytes,IP,ICMP Seq,TTL,Time
64,10.0.0.1,1,128,0.298
64,10.0.0.1,2,128,0.336
64,10.0.0.1,3,128,0.337
64,10.0.0.1,4,128,0.337
64,10.0.0.1,5,128,0.354
64,10.0.0.1,6,128,0.338
64,10.0.0.1,7,128,0.356
64,10.0.0.1,8,128,0.325
64,10.0.0.1,9,128,1.73
64,10.0.0.1,10,128,0.341
64,10.0.0.1,11,128,0.305
64,10.0.0.1,12,128,0.359
64,10.0.0.1,13,128,0.337
64,10.0.0.1,14,128,0.337
64,10.0.0.1,15,128,0.329
64,10.0.0.1,16,128,0.323
64,10.0.0.1,17,128,0.496
64,10.0.0.1,18,128,0.925
64,10.0.0.1,19,128,0.390
64,10.0.0.1,20,128,0.338
64,10.0.0.1,21,128,0.738
64,10.0.0.1,22,128,0.324
64,10.0.0.1,23,128,0.355
64,10.0.0.1,24,128,0.536
64,10.0.0.1,25,128,0.327
64,10.0.0.1,26,128,0.351
64,10.0.0.1,27,128,0.339
64,10.0.0.1,28,128,0.332
64,10.0.0.1,29,128,0.335
64,10.0.0.1,30,128,0.335
64,10.0.0.1,31,128,0.356
64,10.0.0.1,32,128,0.351
64,10.0.0.1,33,128,0.346
64,10.0.0.1,34,128,0.337
64,10.0.0.1,35,128,0.325
64,10.0.0.1,36,128,0.320
64,10.0.0.1,37,128,0.307
64,10.0.0.1,38,128,0.325
64,10.0.0.1,39,128,0.330
64,10.0.0.1,40,128,0.350
64,10.0.0.1,41,128,0.341
64,10.0.0.1,42,128,0.322
64,10.0.0.1,43,128,0.325
64,10.0.0.1,44,128,0.336
64,10.0.0.1,45,128,0.351
64,10.0.0.1,46,128,0.352
64,10.0.0.1,47,128,0.351
64,10.0.0.1,48,128,0.334
64,10.0.0.1,49,128,0.326
64,10.0.0.1,50,128,3.04
64,10.0.0.1,51,128,0.336
64,10.0.0.1,52,128,2.91
64,10.0.0.1,53,128,0.326
64,10.0.0.1,54,128,2.74
64,10.0.0.1,55,128,0.324
64,10.0.0.1,56,128,2.65
64,10.0.0.1,57,128,0.355
64,10.0.0.1,58,128,2.48
64,10.0.0.1,59,128,0.333
64,10.0.0.1,60,128,2.33
64,10.0.0.1,61,128,0.349
64,10.0.0.1,62,128,2.27
64,10.0.0.1,63,128,0.338
64,10.0.0.1,64,128,2.08
64,10.0.0.1,65,128,0.354
64,10.0.0.1,66,128,1.97
64,10.0.0.1,67,128,0.344
64,10.0.0.1,68,128,1.85
64,10.0.0.1,69,128,0.330
64,10.0.0.1,70,128,1.68
64,10.0.0.1,71,128,0.352
64,10.0.0.1,72,128,1.58
64,10.0.0.1,73,128,0.335
64,10.0.0.1,74,128,1.40
64,10.0.0.1,75,128,0.327
64,10.0.0.1,76,128,1.43
64,10.0.0.1,77,128,0.334
64,10.0.0.1,78,128,1.19
64,10.0.0.1,79,128,0.358
64,10.0.0.1,80,128,1.07
64,10.0.0.1,81,128,0.351
64,10.0.0.1,82,128,0.961
64,10.0.0.1,83,128,0.340
64,10.0.0.1,84,128,0.779
64,10.0.0.1,85,128,0.338
64,10.0.0.1,86,128,0.350
64,10.0.0.1,87,128,0.576
64,10.0.0.1,88,128,0.354
64,10.0.0.1,89,128,0.340
64,10.0.0.1,90,128,0.421
64,10.0.0.1,91,128,0.337
64,10.0.0.1,92,128,0.341
64,10.0.0.1,93,128,0.358
64,10.0.0.1,94,128,0.330
64,10.0.0.1,95,128,0.356
64,10.0.0.1,96,128,0.353
64,10.0.0.1,97,128,0.334
64,10.0.0.1,98,128,0.351
64,10.0.0.1,99,128,0.350
64,10.0.0.1,100,128,0.341
64,10.0.0.1,101,128,0.340
64,10.0.0.1,102,128,0.355
64,10.0.0.1,103,128,0.336
64,10.0.0.1,104,128,0.336
64,10.0.0.1,105,128,0.344
64,10.0.0.1,106,128,0.330
64,10.0.0.1,107,128,0.357
64,10.0.0.1,108,128,0.346
64,10.0.0.1,109,128,0.339
64,10.0.0.1,110,128,0.325
64,10.0.0.1,111,128,0.354
64,10.0.0.1,112,128,0.328
64,10.0.0.1,113,128,0.330
64,10.0.0.1,114,128,0.341
64,10.0.0.1,115,128,0.333
64,10.0.0.1,116,128,0.332
64,10.0.0.1,117,128,0.321
64,10.0.0.1,118,128,0.339
64,10.0.0.1,119,128,0.330
64,10.0.0.1,120,128,0.337
64,10.0.0.1,121,128,0.326
64,10.0.0.1,122,128,0.337
64,10.0.0.1,123,128,0.316
64,10.0.0.1,124,128,0.310
64,10.0.0.1,125,128,0.314
64,10.0.0.1,126,128,0.326
64,10.0.0.1,127,128,1.95
64,10.0.0.1,128,128,0.335
64,10.0.0.1,129,128,1.83
64,10.0.0.1,130,128,0.351
64,10.0.0.1,131,128,0.328
64,10.0.0.1,132,128,0.349
64,10.0.0.1,133,128,0.330
64,10.0.0.1,134,128,0.348
64,10.0.0.1,135,128,0.346
64,10.0.0.1,136,128,0.331
64,10.0.0.1,137,128,0.330
64,10.0.0.1,138,128,0.326
64,10.0.0.1,139,128,0.330
64,10.0.0.1,140,128,0.455
64,10.0.0.1,141,128,0.863
64,10.0.0.1,142,128,0.328
64,10.0.0.1,143,128,0.354
64,10.0.0.1,144,128,0.634
64,10.0.0.1,145,128,0.336
64,10.0.0.1,146,128,0.348
64,10.0.0.1,147,128,0.464
64,10.0.0.1,148,128,0.328
64,10.0.0.1,149,128,0.314
64,10.0.0.1,150,128,0.353
64,10.0.0.1,151,128,0.342
64,10.0.0.1,152,128,0.350
64,10.0.0.1,153,128,0.357
64,10.0.0.1,154,128,0.316
64,10.0.0.1,155,128,0.329
64,10.0.0.1,156,128,0.357
64,10.0.0.1,157,128,0.332
64,10.0.0.1,158,128,0.315
64,10.0.0.1,159,128,0.328
64,10.0.0.1,160,128,0.336
64,10.0.0.1,161,128,0.363
64,10.0.0.1,162,128,0.355
64,10.0.0.1,163,128,0.311
64,10.0.0.1,164,128,0.342
64,10.0.0.1,165,128,0.331
64,10.0.0.1,166,128,0.361
64,10.0.0.1,167,128,0.330
64,10.0.0.1,168,128,0.318
64,10.0.0.1,169,128,0.355
64,10.0.0.1,170,128,3.12
64,10.0.0.1,171,128,0.313
64,10.0.0.1,172,128,3.01
64,10.0.0.1,173,128,0.349
64,10.0.0.1,174,128,2.80
64,10.0.0.1,175,128,0.356
64,10.0.0.1,176,128,2.73
64,10.0.0.1,177,128,0.334
64,10.0.0.1,178,128,2.59
64,10.0.0.1,179,128,0.336
64,10.0.0.1,180,128,2.48
64,10.0.0.1,181,128,0.326
64,10.0.0.1,182,128,2.36
64,10.0.0.1,183,128,0.329
64,10.0.0.1,184,128,2.24
64,10.0.0.1,185,128,0.357
64,10.0.0.1,186,128,2.13
64,10.0.0.1,187,128,0.338
64,10.0.0.1,188,128,1.96
64,10.0.0.1,189,128,0.323
64,10.0.0.1,190,128,1.84
64,10.0.0.1,191,128,0.333
64,10.0.0.1,192,128,1.71
64,10.0.0.1,193,128,0.323
64,10.0.0.1,194,128,1.56
64,10.0.0.1,195,128,0.358
64,10.0.0.1,196,128,1.51
64,10.0.0.1,197,128,0.352
64,10.0.0.1,198,128,1.25
64,10.0.0.1,199,128,0.353
64,10.0.0.1,200,128,1.18
64,10.0.0.1,201,128,0.352
64,10.0.0.1,202,128,1.16
64,10.0.0.1,203,128,0.338
64,10.0.0.1,204,128,0.887
64,10.0.0.1,205,128,0.350
64,10.0.0.1,206,128,0.339
64,10.0.0.1,207,128,0.699
64,10.0.0.1,208,128,0.335
64,10.0.0.1,209,128,0.334
64,10.0.0.1,210,128,0.516
64,10.0.0.1,211,128,0.355
64,10.0.0.1,212,128,0.327
64,10.0.0.1,213,128,0.387
64,10.0.0.1,214,128,0.348
64,10.0.0.1,215,128,0.353
64,10.0.0.1,216,128,0.321
64,10.0.0.1,217,128,0.353
64,10.0.0.1,218,128,0.325
64,10.0.0.1,219,128,0.354
64,10.0.0.1,220,128,0.350
64,10.0.0.1,221,128,0.335
64,10.0.0.1,222,128,0.352
64,10.0.0.1,223,128,0.352
64,10.0.0.1,224,128,0.328
64,10.0.0.1,225,128,0.351
64,10.0.0.1,226,128,0.352
64,10.0.0.1,227,128,0.339
64,10.0.0.1,228,128,0.351
64,10.0.0.1,229,128,0.334
64,10.0.0.1,230,128,0.327
64,10.0.0.1,231,128,0.338
64,10.0.0.1,232,128,0.336
64,10.0.0.1,233,128,0.357
64,10.0.0.1,234,128,0.353
64,10.0.0.1,235,128,0.309
64,10.0.0.1,236,128,0.329
64,10.0.0.1,237,128,0.356
64,10.0.0.1,238,128,0.356
64,10.0.0.1,239,128,0.351
64,10.0.0.1,240,128,0.354
64,10.0.0.1,241,128,0.329
64,10.0.0.1,242,128,0.353
64,10.0.0.1,243,128,0.353
64,10.0.0.1,244,128,0.353
64,10.0.0.1,245,128,0.352
64,10.0.0.1,246,128,0.308
64,10.0.0.1,247,128,0.314
64,10.0.0.1,248,128,0.349
64,10.0.0.1,249,128,0.310
64,10.0.0.1,250,128,0.333
64,10.0.0.1,251,128,0.334
64,10.0.0.1,252,128,0.353
64,10.0.0.1,253,128,0.333
64,10.0.0.1,254,128,0.296
64,10.0.0.1,255,128,0.350
64,10.0.0.1,256,128,0.335
64,10.0.0.1,257,128,0.333
64,10.0.0.1,258,128,0.335
64,10.0.0.1,259,128,0.325
64,10.0.0.1,260,128,0.323
64,10.0.0.1,261,128,0.335
64,10.0.0.1,262,128,0.442
64,10.0.0.1,263,128,0.830
64,10.0.0.1,264,128,0.334
64,10.0.0.1,265,128,0.329
64,10.0.0.1,266,128,0.649
64,10.0.0.1,267,128,0.348
64,10.0.0.1,268,128,0.329
64,10.0.0.1,269,128,0.428
64,10.0.0.1,270,128,0.299
64,10.0.0.1,271,128,0.338
64,10.0.0.1,272,128,0.335
64,10.0.0.1,273,128,0.331
64,10.0.0.1,274,128,0.347
64,10.0.0.1,275,128,0.336
64,10.0.0.1,276,128,0.355
64,10.0.0.1,277,128,0.358
64,10.0.0.1,278,128,0.352
64,10.0.0.1,279,128,0.308
64,10.0.0.1,280,128,0.338
64,10.0.0.1,281,128,0.356
64,10.0.0.1,282,128,0.317
64,10.0.0.1,283,128,0.331
64,10.0.0.1,284,128,0.329
64,10.0.0.1,285,128,0.339
64,10.0.0.1,286,128,0.354
64,10.0.0.1,287,128,0.356
64,10.0.0.1,288,128,0.358
64,10.0.0.1,289,128,0.323
64,10.0.0.1,290,128,0.339
64,10.0.0.1,291,128,0.352
64,10.0.0.1,292,128,3.13
64,10.0.0.1,293,128,0.310
64,10.0.0.1,294,128,3.00
64,10.0.0.1,295,128,0.326
64,10.0.0.1,296,128,2.85
64,10.0.0.1,297,128,0.448
64,10.0.0.1,298,128,2.73
64,10.0.0.1,299,128,0.354
64,10.0.0.1,300,128,2.66
64,10.0.0.1,301,128,0.343
64,10.0.0.1,302,128,2.48
64,10.0.0.1,303,128,0.334
64,10.0.0.1,304,128,2.37
64,10.0.0.1,305,128,0.337
64,10.0.0.1,306,128,2.24
64,10.0.0.1,307,128,0.324
64,10.0.0.1,308,128,2.15
64,10.0.0.1,309,128,0.336
64,10.0.0.1,310,128,2.01
64,10.0.0.1,311,128,0.355
64,10.0.0.1,312,128,1.86
64,10.0.0.1,313,128,0.306
64,10.0.0.1,314,128,1.72
64,10.0.0.1,315,128,0.288
64,10.0.0.1,316,128,1.60
64,10.0.0.1,317,128,0.351
